Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,EctoNanogAbk1,EctoNanogAbk2,EctoNanogAbk3,EctoNanogBock1,EctoNanogBock2,EctoNanogBock3,ESCNanogAbk1,ESCNanogAbk2,ESCNanogAbk3,ESCNanogBock1,ESCNanogBock2,ESCNanogBock3
P15927;P15927-2;P15927-3,P15927-2;P15927-3;Q5TEJ7;P15927,RFA2-2_HUMAN;RFA2-3_HUMAN;RFA2_HUMAN,RPA2,2,Replication protein A 32 kDa subunit,101202,93993.9,94714,,,,370860,269754,297388,,,121700
P15954,D6R9Z7;P15954,COX7C_HUMAN,COX7C,2,"Cytochrome c oxidase subunit 7C, mitochondrial",,,,,,,,,,,,
P16104,P16104,H2AX_HUMAN,H2AFX,6,Histone H2AX,109934000,121647000,101411000,115842000,95151300,136198000,89994700,79449200,68961700,71270700,50700800,55916800
P16152,P16152,CBR1_HUMAN,CBR1,7,Carbonyl reductase [NADPH] 1,,,,,,,163898,,,,,
P16220;P16220-2,C9J896;C9JBT4;H7C1R5;P16220-2;P16220,CREB1-2_HUMAN;CREB1_HUMAN,CREB1,2,Cyclic AMP-responsive element-binding protein 1,,,,,,,,,,,,
P16278;P16278-3,E7EQ29;P16278-2;P16278-3;P16278,BGAL-3_HUMAN;BGAL_HUMAN,GLB1,7,Beta-galactosidase,303150,289152,215070,,,,168460,82193.8,157671,,,
P16401,P16401,H15_HUMAN,HIST1H1B,9,Histone H1.5,51679900,59249600,54315200,38027500,36621600,26696500,25827900,22882900,22989000,28207000,20845000,26400500
P16402,P16402,H13_HUMAN,HIST1H1D,12,Histone H1.3,61876900,70161400,70640100,46152400,45163700,32991800,22005500,23996900,21311900,24224100,19019300,22595200
P16403,P16403,H12_HUMAN,HIST1H1C,1,Histone H1.2,4127120,5233320,5417300,5765550,4869370,3378230,1341730,1839830,1090430,2568250,1618120,1310970
P16422,B5MCA4;P16422,EPCAM_HUMAN,EPCAM,6,Epithelial cell adhesion molecule,443704,460891,436186,251780,,,306848,275108,311595,,,84589.6
P16435,E7EMD0;H0Y4R2;P16435,NCPR_HUMAN,POR,11,NADPH--cytochrome P450 reductase,210081,195697,201971,,,,150690,179588,269581,,,
P16615,H7C5W9;P16615-2;P16615-3;P16615-4;P16615-5;P16615,AT2A2_HUMAN,ATP2A2,24,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,305546,360819,325178,226691,164365,,389200,366961,408456,77875.4,87746.2,102698
P16949,A2A2D0;P16949-2;P16949,STMN1_HUMAN,STMN1,9,Stathmin,623964,581934,661027,,,,1519240,1443060,1495050,,,
P16989,P16989-3;P16989,YBOX3_HUMAN,YBX3,7,Y-box-binding protein 3,189799,222827,272191,,,,257621,468407,371601,78057.1,,
P17031,F5H6R4;P17031,ZNF26_HUMAN,ZNF26,1,Zinc finger protein 26,,,,,,,,,,,,66522.2
P17050,P17050,NAGAB_HUMAN,NAGA,2,Alpha-N-acetylgalactosaminidase,,,128463,,,,89243.7,,88848.9,,,
P17066,P17066;P48741,HSP76_HUMAN,HSPA6,2,Heat shock 70 kDa protein 6,5245000,4829320,5772230,4403900,3910750,2630830,6210450,7624930,7765890,3820850,2404160,2730160
P17096,P17096-2;P17096,HMGA1_HUMAN,HMGA1,5,High mobility group protein HMG-I/HMG-Y,5633100,6364000,6122290,2114300,3044230,2489080,4606560,5371880,3802830,3024520,2127120,1964610
P17152,P17152,TMM11_HUMAN,TMEM11,2,"Transmembrane protein 11, mitochondrial",27962.5,,,,,,,,,,,
P17174,P17174,AATC_HUMAN,GOT1,7,"Aspartate aminotransferase, cytoplasmic",200842,242230,151433,,,,163583,159336,228156,,,130167
P17302,P17302,CXA1_HUMAN,GJA1,5,Gap junction alpha-1 protein,220452,288664,173214,,,,284419,165628,402390,,,
P17480;P17480-2,E9PKP7;P17480-2;P17480,UBF1-2_HUMAN;UBF1_HUMAN,UBTF,4,Nucleolar transcription factor 1,,,,,,,,,126858,,,
P17540,P17540,KCRS_HUMAN,CKMT2,4,"Creatine kinase S-type, mitochondrial",,,,,,,,,,,,
P17568,P17568,NDUB7_HUMAN,NDUFB7,1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,98417,82631,58693.7,,,,,,59285.8,,,
P17661,P17661,DESM_HUMAN,DES,7,Desmin,,,,,,,,,,,,
P17706;P17706-2;P17706-3;P17706-4,D3DUJ3;K7EIE9;K7EQG9;P17706-2;P17706-3;P17706-4;P17706,PTN2-2_HUMAN;PTN2-3_HUMAN;PTN2-4_HUMAN;PTN2_HUMAN,PTPN2,1,Tyrosine-protein phosphatase non-receptor type 2,,,,,,,,,,,,
P17812,A0A3B3IRI2;A0A3B3IRQ8;A0A3B3ITB8;A0A3B3ITF6;B4E1E0;P17812,PYRG1_HUMAN,CTPS1,4,CTP synthase 1,78430.5,,,,,,,193558,213109,,,
P17844;P17844-2,J3KRX8;J3KTA4;J3KTQ4;J3QR02;J3QRQ7;P17844-2;X6RLV5;P17844,DDX5-2_HUMAN;DDX5_HUMAN,DDX5,27,Probable ATP-dependent RNA helicase DDX5,3150400,3639230,3107400,3159420,2731620,2566780,2881340,3195640,2818790,2043070,1420400,2507610
P17858,P17858-2;P17858,PFKAL_HUMAN,PFKL,1,"ATP-dependent 6-phosphofructokinase, liver type",,,,,,,,,,,,
P17900,E5RJD0;H0YBY3;P17900,SAP3_HUMAN,GM2A,4,Ganglioside GM2 activator,141907,169008,236310,,,,,158453,,135710,,416536
P17931,G3V3R6;P17931,LEG3_HUMAN,LGALS3,4,Galectin-3,,,,,,,752861,,781180,,,
P17980,E9PKD5;E9PM69;R4GNH3;P17980,PRS6A_HUMAN,PSMC3,10,26S proteasome regulatory subunit 6A,178299,142886,165847,,,,464500,357984,449975,,,187941
P17987,E7EQR6;E7ERF2;P17987,TCPA_HUMAN,TCP1,22,T-complex protein 1 subunit alpha,422217,491543,447015,226863,,,886785,995166,824217,,134403,421208
P18031,B4DSN5;P18031,PTN1_HUMAN,PTPN1,6,Tyrosine-protein phosphatase non-receptor type 1,143008,176557,,,,,,,,,,
P18065,C9JMY1;C9JW52;P18065,IBP2_HUMAN,IGFBP2,2,Insulin-like growth factor-binding protein 2,,,,,,,,,,,,
P18077,P18077,RL35A_HUMAN,RPL35A,10,60S ribosomal protein L35a,2079300,2325410,2171930,2712730,2154510,1550130,4849230,5408630,4836730,5658430,3645600,4538190
P18084,V9GYZ1;V9GZ57;P18084,ITB5_HUMAN,ITGB5,3,Integrin beta-5,,,,,,,,,,,,
P18085,C9JAK5;U3KQF2;P18085,ARF4_HUMAN,ARF4,5,ADP-ribosylation factor 4,,,,,,,223602,300958,748779,114129,,92264.1
P18124,A8MUD9;P18124,RL7_HUMAN,RPL7,14,60S ribosomal protein L7,1144590,1380840,1160480,1245380,849219,480398,3166900,2761140,3218710,3055940,2146990,2382850
P18206;P18206-2,P18206-2;P18206,VINC-2_HUMAN;VINC_HUMAN,VCL,43,Vinculin,373402,349722,435682,,,,1105250,1154490,1100610,235314,243970,198950
P18564;P18564-2,A0A087WXP3;E9PEE8;P18564-2;P18564,ITB6-2_HUMAN;ITB6_HUMAN,ITGB6,1,Integrin beta-6,,,,,,,,,197750,,,
P18583;P18583-5;P18583-7;P18583-9,P18583-10;P18583-2;P18583-3;P18583-4;P18583-5;P18583-6;P18583-7;P18583-8;P18583-9;P18583,SON-5_HUMAN;SON-7_HUMAN;SON-9_HUMAN;SON_HUMAN,SON,22,Protein SON,853823,975089,900434,1034600,618387,644745,283330,342982,280329,89009.2,,143920
P18621;P18621-3,A0A087WWH0;A0A087WXM6;A0A087WY81;J3KRB3;J3KRX5;J3KSJ0;J3QQT2;J3QS96;P18621-3;A0A0A6YYL6;P18621,RL17-3_HUMAN;RL17_HUMAN,RPL17,7,60S ribosomal protein L17,1876920,2173600,2105840,2164540,1671390,1660250,3106500,3733740,3081850,3704490,2688280,2997740
P18669,P18669,PGAM1_HUMAN,PGAM1,10,Phosphoglycerate mutase 1,428571,474968,464702,,,,1123130,991948,1123750,148753,,
P18754;P18754-2,C9J3R0;C9JMJ4;C9JQZ4;C9JRH2;C9JW69;P18754-2;P18754,RCC1-2_HUMAN;RCC1_HUMAN,RCC1,10,Regulator of chromosome condensation,549487,491611,591132,339142,445184,,413066,388327,435763,,,
P18859;P18859-2,A8MUH2;P18859-2;P18859,ATP5J-2_HUMAN;ATP5J_HUMAN,ATP5PF,3,"ATP synthase-coupling factor 6, mitochondrial",79207.1,,,,,,119439,,97577.5,,,
P18887,F5H8D7;P18887,XRCC1_HUMAN,XRCC1,1,DNA repair protein XRCC1,,,,,,,,,,,,
P19012,P19012,K1C15_HUMAN,KRT15,2,"Keratin, type I cytoskeletal 15",,,,,,,,,,,,
P19013,Q86Y46-2;P19013;Q3SY84;Q86Y46,K2C4_HUMAN,KRT4,23,"Keratin, type II cytoskeletal 4",1439630,,,,,,,858869,,,6060570,
P19022;P19022-2,P19022-2;P19022,CADH2-2_HUMAN;CADH2_HUMAN,CDH2,2,Cadherin-2,,,,,,,,,,,,
P19338,C9J1H7;C9JLB1;C9JWL1;C9JYW2;P19338,NUCL_HUMAN,NCL,32,Nucleolin,1872760,1942170,1857250,1435280,1001400,901716,3940000,4356600,3397490,1825280,1396130,1918370
P19367;P19367-2;P19367-3;P19367-4,P19367-2;P19367-3;P19367-4;P19367,HXK1-2_HUMAN;HXK1-3_HUMAN;HXK1-4_HUMAN;HXK1_HUMAN,HK1,27,Hexokinase-1,867567,938424,968701,506124,611035,,833249,877496,818828,172512,116427,313841
P19387,H3BRR2;P19387,RPB3_HUMAN,POLR2C,4,DNA-directed RNA polymerase II subunit RPB3,183939,233673,198988,298678,195615,,178063,235118,122464,,,149978
P19388,A0A087WVN5;A0A087WWX0;A0A0A0MQR7;P19388,RPAB1_HUMAN,POLR2E,6,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",428085,432704,448895,361812,273470,,399878,459976,404024,,173936,285153
P19404,E7EPT4;P19404,NDUV2_HUMAN,NDUFV2,4,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",830024,943734,676736,,286120,,604564,690513,547366,,353888,490771
P19429,K7EN02;P19429,TNNI3_HUMAN,TNNI3,2,"Troponin I, cardiac muscle",,,,,,,,,,,,
P19474,P19474-2;P19474,RO52_HUMAN,TRIM21,9,E3 ubiquitin-protein ligase TRIM21,281774,229358,234436,605704,458118,,540986,624234,572263,1551070,1218960,1955970
P19623,K7EKM4;P19623,SPEE_HUMAN,SRM,4,Spermidine synthase,,,,,,,237599,102158,244923,,,
P19784,H3BNI9;P19784,CSK22_HUMAN,CSNK2A2,3,Casein kinase II subunit alpha',372816,328817,,191723,,,333070,311336,292328,,,
P19883;P19883-2,H0YA75;H0YAF9;P19883-2;P19883,FST-2_HUMAN;FST_HUMAN,FST,2,Follistatin,,,,,,,,,,,,
P19957,P19957,ELAF_HUMAN,PI3,7,Elafin,,,,,,,,,,,,
P19971;P19971-2,A0A494C0L6;C9JGI3;P19971-2;A0A1W2PP80;P19971,TYPH-2_HUMAN;TYPH_HUMAN,TYMP,1,Thymidine phosphorylase,,,,,,,,,,,,
P20020;P20020-1;P20020-2;P20020-4;P20020-5;P20020-6,P20020-1;P20020-2;P20020-4;P20020-5;P20020-6;P23634-2;P23634-3;P23634-4;P23634-5;P23634-6;P23634-7;P23634-8;P20020;P23634,AT2B1-1_HUMAN;AT2B1-2_HUMAN;AT2B1-4_HUMAN;AT2B1-5_HUMAN;AT2B1-6_HUMAN;AT2B1_HUMAN,ATP2B1,4,Plasma membrane calcium-transporting ATPase 1,,,,,,,,,72328.3,,,
P20042,P20042,IF2B_HUMAN,EIF2S2,6,Eukaryotic translation initiation factor 2 subunit 2,63518.8,71023.1,,,,,241691,174724,268106,,,
P20073;P20073-2,P20073-2;P20073,ANXA7-2_HUMAN;ANXA7_HUMAN,ANXA7,5,Annexin A7,,,,,,,100046,113183,125589,105518,56614.6,88293.1
P20290,D6RDG3;H0Y9Y1;P20290-2;P20290,BTF3_HUMAN,BTF3,3,Transcription factor BTF3,113462,,100096,,,,66552.5,81939.9,188767,,,
P20290-2,D6RDG3;P20290-2,BTF3-2_HUMAN,BTF3,1,"Isoform of P20290, Isoform 2 of Transcription factor BTF3",,,,,,,45910.8,,41008.2,,,
P20337,P20337,RAB3B_HUMAN,RAB3B,3,Ras-related protein Rab-3B,,316918,,,,,,,,,,
P20338,A0A087WYT5;P20338,RAB4A_HUMAN,RAB4A,3,Ras-related protein Rab-4A,,,,,,,,,,,,
P20339;P20339-2,P20339-2;P20339,RAB5A-2_HUMAN;RAB5A_HUMAN,RAB5A,3,Ras-related protein Rab-5A,162394,130313,108541,,,,171592,137722,186620,,,
P20340-2,F5H3K7;P20340-2;P20340-3;P20340-4;P20340,RAB6A-2_HUMAN,RAB6A,6,"Isoform of P20340, Isoform 2 of Ras-related protein Rab-6A",601336,619818,578092,528169,,1807780,418851,363625,501489,,,
P20618,P20618,PSB1_HUMAN,PSMB1,8,Proteasome subunit beta type-1,565313,440939,611039,240304,371431,,711344,758767,725924,271133,382539,563293
P20645,F5GX30;F5GXE0;F5GXU0;F5H883;P20645,MPRD_HUMAN,M6PR,6,Cation-dependent mannose-6-phosphate receptor,552186,580651,597505,1640300,1237730,918515,455352,280112,335465,260735,197998,340070
P20674,H3BNX8;H3BRM5;H3BV69;P20674,COX5A_HUMAN,COX5A,4,"Cytochrome c oxidase subunit 5A, mitochondrial",831145,770804,617612,435122,,415343,740431,712513,882222,382228,397580,553179
P20700,A0A0D9SFE5;E9PBF6;P20700,LMNB1_HUMAN,LMNB1,34,Lamin-B1,6586470,6668070,6223100,7338450,5523330,5018080,4190820,4195240,4194650,2171840,1543340,2266130
P20839;P20839-2;P20839-3;P20839-4;P20839-5;P20839-6;P20839-7,A0A3B3IRL5;C9J381;C9K0R9;P20839-2;P20839-3;P20839-4;P20839-5;P20839-6;P20839-7;P20839,IMDH1-2_HUMAN;IMDH1-3_HUMAN;IMDH1-4_HUMAN;IMDH1-5_HUMAN;IMDH1-6_HUMAN;IMDH1-7_HUMAN;IMDH1_HUMAN,IMPDH1,2,Inosine-5'-monophosphate dehydrogenase 1,,,,,,,,,119478,,,
P20930,P20930,FILA_HUMAN,FLG,23,Filaggrin,449039,457294,454929,692535,952243,706944,325997,369186,369219,776465,1197560,1133970
P20933,H0Y9C7;P20933,ASPG_HUMAN,AGA,1,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,137106,,69582.3,,,,,,,,,
P20962,F5GXR3;F5H7R9;P20962,PTMS_HUMAN,PTMS,2,Parathymosin,249973,217989,227091,,,,936592,947236,808692,,,
P21127;P21127-10;P21127-12;P21127-2;P21127-3;P21127-4;P21127-5;P21127-6;P21127-8;P21127-9;Q9UQ88;Q9UQ88-10;Q9UQ88-2;Q9UQ88-3;Q9UQ88-4,A0A0D9SEI3;A0A0D9SEN2;A0A0D9SER5;P21127-10;P21127-12;P21127-2;P21127-3;P21127-4;P21127-5;P21127-6;P21127-8;P21127-9;Q5QPR3;Q5QPR4;Q9UQ88-10;Q9UQ88-2;Q9UQ88-3;Q9UQ88-4;Q9UQ88-9;P21127;Q9UQ88,CD11A-10_HUMAN;CD11A-2_HUMAN;CD11A-3_HUMAN;CD11A-4_HUMAN;CD11A_HUMAN;CD11B-10_HUMAN;CD11B-12_HUMAN;CD11B-2_HUMAN;CD11B-3_HUMAN;CD11B-4_HUMAN;CD11B-5_HUMAN;CD11B-6_HUMAN;CD11B-8_HUMAN;CD11B-9_HUMAN;CD11B_HUMAN,CDK11A;CDK11B,4,Cyclin-dependent kinase 11B,,,,,,,,,75142.6,,,
P21281,H0YC04;P21281,VATB2_HUMAN,ATP6V1B2,9,"V-type proton ATPase subunit B, brain isoform",275249,298680,259030,195107,213010,,296030,195726,316688,,,66919.5
P21283,E7EV59;P21283,VATC1_HUMAN,ATP6V1C1,2,V-type proton ATPase subunit C 1,,,,,,,,,,,,
P21291,E9PP21;P21291,CSRP1_HUMAN,CSRP1,1,Cysteine and glycine-rich protein 1,,,,,,,,,,,,
P21333;P21333-2,A0A087WWY3;P21333-2;Q60FE5;P21333,FLNA-2_HUMAN;FLNA_HUMAN,FLNA,89,Filamin-A,860757,840011,872296,550039,491642,,1495790,1590200,1379460,615143,414202,653605
P21741,E9PLM6;E9PPJ5;P21741-2;P21741,MK_HUMAN,MDK,9,Midkine,5810960,6305560,5587860,9444550,7028960,6452290,744941,795466,879131,678924,488446,779268
P21796,P21796,VDAC1_HUMAN,VDAC1,10,Voltage-dependent anion-selective channel protein 1,566207,660983,611644,408938,402149,283248,541792,601934,554360,234126,159023,266883
P21912,P21912,SDHB_HUMAN,SDHB,5,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",234453,201097,185419,,,,107487,161619,98034.6,,,
P21926,A0A087WU13;A0A2R8Y478;A6NNI4;G8JLH6;P21926,CD9_HUMAN,CD9,2,CD9 antigen,,,,,,,,,,,,
P22033,P22033,MUTA_HUMAN,MMUT,4,"Methylmalonyl-CoA mutase, mitochondrial",205200,,150373,,,,108507,240822,,,,
P22061;P22061-2,A0A0A0MRJ6;A0A3F2YNX8;F6S8N6;H7BY58;P22061-2;P22061,PIMT-2_HUMAN;PIMT_HUMAN,PCMT1,4,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,438371,475733,500511,369300,,,776851,731833,757420,528295,500333,520861
P22087,M0QXL5;M0R0P1;M0R1H0;M0R299;M0R2B0;M0R2Q4;M0R2U2;P22087,FBRL_HUMAN,FBL,13,rRNA 2'-O-methyltransferase fibrillarin,2833300,3367160,3324930,2915760,2299950,1495820,2723750,3309610,2658230,3215060,2341660,3773040
P22102,F8WD69;P22102-2;P22102,PUR2_HUMAN,GART,10,Trifunctional purine biosynthetic protein adenosine-3,137575,133360,125862,,,,332981,423052,397214,,,
P22223;P22223-2,P22223-2;P22223,CADH3-2_HUMAN;CADH3_HUMAN,CDH3,1,Cadherin-3,,,161238,,,,,,,,,
P22234;P22234-2,D6RF62;E9PBS1;P22234-2;P22234,PUR6-2_HUMAN;PUR6_HUMAN,PAICS,16,Multifunctional protein ADE2,368435,380080,316019,,,,847110,619616,739991,205433,,365896
P22307;P22307-2;P22307-4;P22307-6;P22307-7;P22307-8,P22307-2;P22307-4;P22307-6;P22307-7;P22307-8;P22307,NLTP-2_HUMAN;NLTP-4_HUMAN;NLTP-6_HUMAN;NLTP-7_HUMAN;NLTP-8_HUMAN;NLTP_HUMAN,SCP2,8,Non-specific lipid-transfer protein,890272,879549,955340,,,,348763,373553,370623,,,
P22314;P22314-2,P22314-2;P22314,UBA1-2_HUMAN;UBA1_HUMAN,UBA1,24,Ubiquitin-like modifier-activating enzyme 1,646021,659817,653989,270010,,,1876240,2002410,1920150,244443,,340006
P22392;P22392-2,P22392-2;Q32Q12;O60361;P22392,NDKB-2_HUMAN;NDKB_HUMAN,NME2,2,Nucleoside diphosphate kinase B,372453,360131,428439,103321,,,867689,787789,802651,184360,,193165
P22492,P22492,H1T_HUMAN,HIST1H1T,1,Histone H1t,216249,178485,234459,,,,,,,,,
P22528;P35321,P22528;P35321,SPR1A_HUMAN;SPR1B_HUMAN,SPRR1A;SPRR1B,3,Cornifin-B,3287080,2201900,2149410,3048950,5795740,3934310,1604260,3511890,1660920,5101910,8773800,6189030
P22532;P35325,P22532;P35325,SPR2B_HUMAN;SPR2D_HUMAN,SPRR2B;SPRR2D,1,Small proline-rich protein 2D,206350,,,,210991,,,,,,899926,405703
P22570;P22570-2;P22570-3;P22570-4;P22570-5;P22570-6;P22570-7,A0A0A0MSZ4;A0A0A0MT64;A0A0A0MTN9;A0A0A0MTR6;A0A0C4DFN8;A0A0C4DGN7;J3QQX3;P22570-2;P22570-3;P22570-4;P22570-5;P22570-6;P22570-7;P22570,ADRO-2_HUMAN;ADRO-3_HUMAN;ADRO-4_HUMAN;ADRO-5_HUMAN;ADRO-6_HUMAN;ADRO-7_HUMAN;ADRO_HUMAN,FDXR,2,"NADPH:adrenodoxin oxidoreductase, mitochondrial",109237,120078,,,,,,,93993.8,,,
P22626,A0A087WUI2;P22626-2;P22626,ROA2_HUMAN,HNRNPA2B1,22,Heterogeneous nuclear ribonucleoproteins A2/B1,16846900,17079500,17415900,7839010,6271560,8123450,7506010,6909550,7493810,2008190,2221040,2559620
P22695,A0A087WVZ4;H3BP04;H3BRG4;H3BSJ9;H3BUE4;H3BUI9;P22695,QCR2_HUMAN,UQCRC2,13,"Cytochrome b-c1 complex subunit 2, mitochondrial",424586,371388,389777,387255,377453,,367754,395646,393257,444562,381518,355575
P22735,H0YLT9;P22735-2;P22735,TGM1_HUMAN,TGM1,16,Protein-glutamine gamma-glutamyltransferase K,296663,290566,467285,495906,853934,658036,384641,340534,533022,653705,659636,1149410
P23193,A0A1W2PPZ5;E5RIS7;E5RJ93;P23193,TCEA1_HUMAN,TCEA1,10,Transcription elongation factor A protein 1,93770.1,93935.8,109908,,,,332647,372724,321403,,,
P23229;P23229-2;P23229-3;P23229-4;P23229-5;P23229-6;P23229-9,P23229-2;P23229-3;P23229-4;P23229-5;P23229-6;P23229-7;P23229-9;P23229,ITA6-2_HUMAN;ITA6-3_HUMAN;ITA6-4_HUMAN;ITA6-5_HUMAN;ITA6-6_HUMAN;ITA6-9_HUMAN;ITA6_HUMAN,ITGA6,7,Integrin alpha-6,92850,116962,,,,,111752,,,,,
P23246,P23246-2;P23246,SFPQ_HUMAN,SFPQ,25,"Splicing factor, proline- and glutamine-rich",4913510,4709830,4586580,3800340,2815610,2439680,2533160,2966880,2572170,816645,680890,695813
P23258,K7EIS0;K7EKE5;P23258;Q9NRH3,TBG1_HUMAN,TUBG1,1,Tubulin gamma-1 chain,,,74377.2,,,,150806,107045,132365,,,
P23280,F8W148;P23280-2;P23280-3;P23280,CAH6_HUMAN,CA6,4,Carbonic anhydrase 6,,,,,,,,,,,,
P23284,P23284,PPIB_HUMAN,PPIB,15,Peptidyl-prolyl cis-trans isomerase B,125515000,128856000,138557000,81508600,71786700,59366100,42326600,44791700,40255700,64882400,57028200,64291900
P23352,P23352,KALM_HUMAN,ANOS1,1,Anosmin-1,112019,,70758.3,,,,,,,,,
P23368,A0A1W2PPH1;A0A1W2PPY2;A0A1W2PQ37;A0A1W2PQF8;A0A1W2PQH3;A0A1W2PQH4;A0A1W2PQT3;A0A1W2PQY8;A0A1W2PR68;A0A1W2PRS2;A0A1W2PRY9;P23368-2;P23368,MAOM_HUMAN,ME2,8,"NAD-dependent malic enzyme, mitochondrial",862473,816352,845226,348635,276335,,428836,418883,353471,242027,,
P23378,P23378,GCSP_HUMAN,GLDC,10,"Glycine dehydrogenase (decarboxylating), mitochondrial",258631,310606,216061,,,,239289,179063,163179,,,
P23381;P23381-2,H0YJP3;P23381-2;P23381,SYWC-2_HUMAN;SYWC_HUMAN,WARS,3,"Tryptophan--tRNA ligase, cytoplasmic",85058.8,,,,,,223731,106711,115748,,,
P23396,E9PL09;F2Z2S8;H0YCJ7;H0YF32;P23396-2;P23396,RS3_HUMAN,RPS3,20,40S ribosomal protein S3,3778570,3847650,3840160,2101760,1597980,1309400,7899860,8292340,8397590,5114800,3490440,5429900
P23434,A0A1W2PQV2;H3BUH9;P23434,GCSH_HUMAN,GCSH,1,"Glycine cleavage system H protein, mitochondrial",178955,150321,101752,,,,,,239390,,,
P23435,P23435,CBLN1_HUMAN,CBLN1,1,Cerebellin-1,,,,,,,,,,,,
P23471;P23471-2;P23471-3,A0A494C036;A0A494C055;A0A494C087;A0A494C0U4;A0A494C1B4;A0A494C1H9;A0A494C1R4;P23471-2;P23471-3;P23471,PTPRZ-2_HUMAN;PTPRZ-3_HUMAN;PTPRZ_HUMAN,PTPRZ1,1,Receptor-type tyrosine-protein phosphatase zeta,,,,,,,,,,,,
P23490,P23490,LORI_HUMAN,LOR,3,Loricrin,944473,714408,1176840,1658370,2052670,2503520,517519,923671,820850,1408230,1650090,3462740
P23526,P23526-2;P23526,SAHH_HUMAN,AHCY,18,Adenosylhomocysteinase,1265650,1366170,1386240,550533,336391,,2974400,2788810,2992110,771206,620754,1168740
P23528,E9PK25;E9PLJ3;E9PP50;E9PQB7;G3V1A4;Q9Y281-3;P23528;Q9Y281,COF1_HUMAN,CFL1,13,Cofilin-1,817866,730395,737430,245492,255443,,2195120,2541460,2060800,314763,381979,452069
P23588,E7EX17;P23588-2;P23588,IF4B_HUMAN,EIF4B,5,Eukaryotic translation initiation factor 4B,222113,227924,253316,,,,507103,624047,426577,,,
P23786,A0A1B0GTB8;A0A1B0GV75;A0A1B0GVF3;A0A1B0GWC0;P23786,CPT2_HUMAN,CPT2,8,"Carnitine O-palmitoyltransferase 2, mitochondrial",,,,,,,,,,,,
P23921,P23921,RIR1_HUMAN,RRM1,3,Ribonucleoside-diphosphate reductase large subunit,,,,,,,,,68451.1,,,
P24390;P33947;P33947-2,M0R1Y2;P33947-2;P24390;P33947,ERD21_HUMAN;ERD22-2_HUMAN;ERD22_HUMAN,KDELR1;KDELR2,1,ER lumen protein-retaining receptor 1,,,,,,,,,,,,
P24534,C9JZW3;F2Z2G2;F8WF65;P24534,EF1B_HUMAN,EEF1B2,4,Elongation factor 1-beta,649763,552876,636727,,,,1854630,1685380,1688230,,,313306
P24539,Q5QNZ2;P24539,AT5F1_HUMAN,ATP5PB,7,"ATP synthase F(0) complex subunit B1, mitochondrial",261368,337116,363485,184505,,,209296,209238,213040,,,
P24666,G5E9R5;P24666-4;P24666,PPAC_HUMAN,ACP1,4,Low molecular weight phosphotyrosine protein phosphatase,309235,390175,382979,,,,720316,657821,732186,,,312702
P24752,E9PKF3;H0YEL7;P24752-2;P24752,THIL_HUMAN,ACAT1,10,"Acetyl-CoA acetyltransferase, mitochondrial",277459,211786,275824,,,,114366,67042.5,179212,,,
P24844,P24844-2;P24844,MYL9_HUMAN,MYL9,2,Myosin regulatory light polypeptide 9,50204.8,,,,,,65552.1,,47791.7,,,214289
P24928,P24928,RPB1_HUMAN,POLR2A,10,DNA-directed RNA polymerase II subunit RPB1,68699.3,86078,91337.7,,,,55659.2,,54571.8,,,
P24941;P24941-2,E7ESI2;G3V5T9;P24941-2;P24941,CDK2-2_HUMAN;CDK2_HUMAN,CDK2,1,Cyclin-dependent kinase 2,,,,,,,,,,,,
P25205;P25205-2,J3KQ69;P25205-2;P25205,MCM3-2_HUMAN;MCM3_HUMAN,MCM3,25,DNA replication licensing factor MCM3,277353,289074,232680,,,,721628,650646,714641,,,137444
P25208,F8VSL3;P25208,NFYB_HUMAN,NFYB,1,Nuclear transcription factor Y subunit beta,,,,,,,,,,,,
P25311,C9JEV0;P25311,ZA2G_HUMAN,AZGP1,11,Zinc-alpha-2-glycoprotein,1120880,1109570,2283470,2189270,2937120,2281760,1048830,1323190,592372,3755650,2730290,3356480
P25325;P25325-2,B1AH49;P25325-2;P25325,THTM-2_HUMAN;THTM_HUMAN,MPST,2,3-mercaptopyruvate sulfurtransferase,,,86379.3,,,,,,,,,
P25391,P25391,LAMA1_HUMAN,LAMA1,2,Laminin subunit alpha-1,,57904.2,,,,,,,,,,
P25398,P25398,RS12_HUMAN,RPS12,7,40S ribosomal protein S12,766124,756983,663057,,,,1659580,1478410,1761760,377849,293722,1127750
P25705,K7EJP1;K7EK77;K7ENJ4;K7EQH4;K7ERX7;P25705-2;P25705,ATPA_HUMAN,ATP5F1A,29,"ATP synthase subunit alpha, mitochondrial",7657440,7846620,7667090,5691200,4325180,4632480,5285670,4910830,5308060,3165260,2516120,3620410
